"Fireplace_Binary","Price","SquareFootage","NumBathrooms","NumBedrooms","PropertyTaxRate","RenovationQuality","LocalAmenities","HouseColor","Floors","IsLuxury"
1,216777.2147,1278.78,2.20571496,1,1.63,"4.37",2.49,"Red",1,1
0,195135.8534,1046.79,1.98348192,3,1.87,"3.98",7.6,"Blue",1,0
0,232290.5139,974.83,1,5,1.3,"5.94",3.96,"Blue",1,0
0,169035.3533,550,1.897350371,4,1.59,"3.47",6.31,"Green",1,0
0,254576.9433,550,4.325596641,4,1.76,"8.89",7.66,"Yellow",1,0
0,225737.5059,839.86,2.136883246,3,1.04,"4.86",5.25,"Red",1,0
0,222960.7761,657.08,1.512336617,4,2.27,"3.69",5.8,"Red",1,0
1,237318.6527,945.51,2.408829723,4,2.04,"6.9",4.82,"White",1,0
0,275840.3174,935.51,1.895103414,3,1.75,"5.55",6.2,"Blue",1,0
0,268498.1044,1396.11,2.189083886,3,1.48,"4.97",8.68,"Red",1,0
0,187888.8282,1456.45,1,2,1,"5.04",9.42,"Blue",1,0
1,182404.964,1658.43,2.428461505,1,1.56,"3.94",3.27,"Yellow",1,0
0,153088.6481,796.16,1,2,1.33,"4.46",7.28,"Green",2,0
0,245883.7511,1524.55,1.174475552,3,1.04,"6.16",4.95,"Red",1,0
1,222967.9606,683.73,1,4,0.79,"5.03",2.63,"Red",1,0
0,220819.4242,1498.97,2.412689931,3,1.62,"4.47",6.77,"Red",1,1
0,269827.6245,1661.48,3.255066273,3,1.49,"2.7",6.84,"Yellow",1,0
0,203289.7325,909.57,1.705259481,3,1.64,"5.69",5.56,"Yellow",1,0
1,97658.68326,570.95,1.072237852,2,1.78,"5.06",2.82,"Blue",2,1
1,151368.1563,798.96,1.992846293,1,2.18,"3.97",1.91,"Red",1,1
0,232326.4253,550,2.017275534,3,1.05,"4.31",4.18,"Red",1,0
0,172292.0926,635.14,1.095115158,2,1.37,"5.7",1.54,"Blue",1,0
0,205364.9148,682.7,2.087363198,2,1.55,"3.75",5.97,"Blue",1,0
0,118339.1469,1336.58,1.472491479,1,2.19,"5.13",5.71,"White",1,0
1,253706.2029,550,1.238066639,1,1.6,"2.65",5.29,"Blue",1,0
0,271635.8595,823.98,3.689285068,3,1.58,"5.2",9.18,"Green",2,1
1,249169.7703,550,2.228118202,2,1.85,"6.02",3.45,"Yellow",1,0
1,269320.9444,550,2.17305181,1,1.59,"3.05",6.98,"Yellow",1,0
0,146561.8749,741.88,2.44212541,2,2.24,"0.08",4.79,"Red",1,0
1,266026.8228,868.81,2.585261194,2,0.68,"2.44",0.97,"Yellow",1,0
1,235149.0994,857.78,2.751950305,3,1.18,"3.7",4.39,"Yellow",1,0
0,166979.9417,1074.05,1.42286577,3,1.46,"5.01",7.48,"Red",1,0
0,249306.0817,1312.12,1.822728798,4,1.66,"5.29",4.66,"Blue",1,0
0,239369.4839,695.98,1,4,1.9,"4.23",9.81,"White",1,0
0,124554.5337,559.33,1.415674288,3,2.06,"3.35",5.25,"White",1,0
0,168852.6152,1572.19,1,3,2.24,"4.71",2.32,"Yellow",1,0
0,116678.9211,577.84,1,2,1.42,"3.71",2.05,"Yellow",1,0
0,146485.2203,757.44,1,3,1.28,"5.91",7.38,"Red",1,1
1,104158.8928,690.05,1.378203219,3,0.87,"4.28",3.73,"Yellow",1,0
0,205722.127,550,1,1,1.7,"3.73",6.22,"Green",1,0
0,182677.8882,931.09,1.113645961,3,0.64,"4.71",10,"Yellow",1,0
1,184652.8351,693.18,1.32662884,2,1.92,"4.15",5.46,"Blue",1,1
0,109353.449,760.31,1,2,2.27,"1.91",4.55,"Green",1,0
0,122930.8342,550,1,3,2.09,"4.08",4.1,"Green",1,0
1,132997.0632,1002.88,1.215142348,2,1.51,"4.45",0.09,"Blue",1,0
1,272776.072,939.03,1.26769942,4,1.02,"7.15",4.04,"Red",1,0
0,149533.4247,550,1.722360824,4,0.67,"3.17",5.1,"White",1,0
1,161259.969,550,1.889751455,4,0.75,"3.96",1.83,"Green",1,0
0,151889.2561,1185.79,2.14321221,2,1.44,"3.12",6.29,"Red",1,0
0,207601.5597,904.42,1.063157929,3,1.33,"5.5",3.7,"Yellow",1,0
0,276698.6903,645.97,1,3,0.69,"3.23",4.19,"Green",1,0
0,165031.6016,695.79,3.19872624,2,1.44,"4.29",4.41,"Green",1,0
0,244113.9497,1551.51,3.005564594,2,1.87,"5.59",7.5,"Green",1,0
0,112204.4099,581.23,1,3,2.14,"1.01",4.9,"Red",1,0
0,173010.9685,811.29,1.189211952,1,1.87,"2.34",8.09,"Yellow",1,0
0,192413.1469,558.96,4.150019273,2,1.63,"5.01",7.76,"White",1,0
0,217034.6345,757.1,1.009629637,1,1.43,"3.9",5.3,"Blue",1,0
1,261345.8061,696.64,1.461289673,5,2.03,"3.29",6.45,"White",1,0
0,255615.0412,1319.79,2.542387545,4,2.1,"6.81",7.18,"Yellow",1,0
0,122833.9709,739.23,1.617846731,3,1.36,"5.13",4.05,"Blue",1,0
0,274730.4351,947.06,2.379477752,3,1.62,"6.13",10,"Blue",1,0
0,270876.7096,550,1.227384634,2,1.21,"0.89",5.76,"Blue",1,0
1,168716.8081,550,1.900055086,2,1.19,"2.59",6.76,"Green",1,0
0,197259.9378,1396.24,1,4,1.9,"6.14",1.06,"Red",1,1
1,144490.858,1063.24,1.21940935,3,1.8,"4.72",3.04,"Yellow",1,0
1,86250.21775,550,1.44165141,4,1.52,"2.45",10,"Yellow",2,1
1,235906.2019,917.46,1,3,0.79,"2.84",1.26,"Yellow",2,0
1,183995.1525,1286.07,2.715201171,2,1.2,"6.26",4.86,"Yellow",1,0
0,178009.8491,1052.32,1.217644474,2,1.74,"3.53",7.43,"Yellow",1,0
0,223105.4141,1697.87,1,3,2.03,"7.72",8.11,"Blue",1,0
0,257858.5181,1621.94,2.555138548,2,2.22,"7.46",10,"White",1,0
1,150637.9491,550,1.757506202,2,2.1,"2.41",5.25,"Red",1,1
1,153992.6998,550,2.115308415,3,1.26,"3.4",9.86,"White",1,0
1,182601.1792,550,2.8524211,3,1.17,"4.49",3.6,"Blue",1,0
1,178847.5692,905.66,1,2,1.35,"5.04",8.22,"Red",1,0
0,106683.0052,728.73,1,2,2.22,"1.95",9.53,"Blue",1,0
1,267934.4178,730.57,1.605005255,4,2.31,"4.84",5.3,"Red",1,0
1,267888.0566,968.6,4.370450006,3,0.68,"5.93",5.45,"Blue",1,0
0,176426.4574,709.62,1.86213112,4,2.28,"2.74",5.8,"Green",1,0
0,121533.3732,1207.69,1.032576966,2,1.29,"0.09",7.35,"Green",1,0
0,111900.5148,1236.63,1.562501373,3,1.3,"1.35",5.24,"Green",2,0
0,112697.6057,550,2.987709527,2,1.83,"0.67",1.18,"White",1,0
0,248789.3322,550,2.859258942,2,1.15,"4.68",5.79,"Green",1,0
0,182267.2939,1058.53,1.338524444,2,1.67,"3.25",6.66,"Yellow",1,1
1,121380.2128,550,1.880324216,3,2.08,"3.33",10,"Blue",2,0
0,185486.3727,843.94,2.89297938,2,1.49,"3.06",6.81,"White",1,0
0,211134.6658,698.31,2.075840252,2,2.01,"2.7",4.72,"Red",1,0
0,146992.1027,550,1,3,1.34,"2.74",8.6,"Blue",1,0
0,278913.6611,1082.01,2.886157968,3,0.36,"7.41",10,"Blue",2,0
0,166416.1392,1384.34,2.010225354,1,1.99,"3.16",5.38,"Green",1,0
0,239449.537,1293.03,1.157028832,3,2.01,"4.92",4.91,"Blue",2,0
0,257001.1014,1333.9,2.664107348,4,1.93,"6.27",4.64,"Blue",1,0
0,194777.6616,550,2.060659189,3,2.4,"4.71",4.34,"Blue",1,0
0,277628.6859,566.19,2.457386635,4,1.94,"6.33",9.69,"White",1,0
1,127717.4987,769.16,2.813440607,2,1.88,"2.58",1.75,"Green",1,0
1,184345.9638,955.54,1,3,1.5,"4.33",2.7,"Yellow",1,0
0,217355.5061,1371.91,1.947107916,2,1.83,"3.38",9.46,"Blue",1,0
0,142522.0527,764.69,2.702025134,2,1.43,"4.25",2.7,"Blue",1,0
0,239890.6814,550,2.32096047,3,1.54,"4.35",10,"Blue",1,0
0,104735.1932,550,1.082420434,2,2.42,"4.98",6.17,"Yellow",2,0
0,213896.1784,550,3.276078857,2,1.86,"8.69",6.24,"Blue",1,0
1,113969.9106,683.04,1,2,2.02,"2.25",5.6,"Blue",1,0
0,249996.4094,2061.01,1.513392528,3,1.68,"5.96",8.21,"Red",1,0
1,270706.3769,1199.7,3.375530651,3,0.97,"4.96",8.72,"Green",1,1
1,152308.4204,874.53,1,3,2.07,"3.56",4.66,"Green",1,0
